16,GlobeMed Gulf,TPA,15,"Regional group; structured pilots feasible","General Manager UAE (TBD); Ops Lead (TBD); IT Lead (TBD)","Pilot KPIs; scale path across region",No,"Identify UAE GM; propose UAE pilot","Identify GM/Ops/IT owners"
17,National General Insurance (NGI),Insurer,14,"Meaningful medical line; mid-size agility","Head of Health/Medical (TBD); Ops Lead (TBD)","Limited-scope pilot; quick iteration",No,"Find champion; propose scoped PoC","Identify Health/Medical owner"
18,SALAMA (Islamic Arab Insurance),Insurer,14,"Takaful footprint; compliance narrative resonates","Head of Health/Medical (TBD); Compliance (TBD)","Compliance-first pilot; rule transparency",No,"Map decision unit; define compliance guardrails","Identify Health/Compliance owners"
19,Watania (National Takaful),Insurer,14,"Takaful; structured pilots; stakeholder mapping","Head of Health/Medical (TBD); Compliance (TBD)","Transparent rules; audit trail; PoC",No,"Propose small-scope PoC; align stakeholders","Identify Health/Compliance owners"
20,ENET TPA,TPA,13,"Mid-size agility; data integration path","COO/Head of Ops (TBD); IT Lead (TBD)","Integration-light pilot; SLA gains",No,"Qualify interest; propose PoC","Identify Ops/IT owners"
21,GlobalNet TPA,TPA,13,"Regional linkages; partner-led entry","COO/Head of Ops (TBD); IT Lead (TBD)","Partner network leverage; KPI framework",No,"Explore partner route; propose pilot","Identify Ops/IT owners"
22,ECARE International,TPA,13,"Claims ops specialization; backtest-first approach","COO/Head of Ops (TBD); IT Lead (TBD)","Backtest-first; concordance metrics",No,"Request anonymized data sample","Identify Ops/IT owners"
23,Al Buhaira National Insurance,Insurer,14,"Legacy payer; value in denial reduction","Head of Medical (TBD); Ops Lead (TBD)","Denial reduction; turnaround KPI",No,"Map owners; pitch ROI + KPIs","Identify owners"
24,Abu Dhabi National Takaful,Insurer,13,"Takaful; cost containment focus","Head of Medical (TBD); Compliance (TBD)","Compliance-first; transparent rules",No,"Propose scoped PoC with audit","Identify owners"
25,Al Wathba National Insurance,Insurer,13,"Regional network; process efficiency angle","Ops/Claims Lead (TBD); IT Lead (TBD)","Process automation; SLA reduction",No,"Qualify owner; propose KPIs","Identify owners"
26,Al Dhafra Insurance,Insurer,13,"Mid-size; ROI-led pitch; partner via TPA","Head of Medical (TBD); Ops Lead (TBD)","ROI narrative; limited-scope pilot",No,"Find champion via TPA partners","Identify owners"
27,RAK Insurance (Ras Al Khaimah),Insurer,13,"Regional presence; pilot with select providers","Head of Medical (TBD); Ops Lead (TBD)","Provider-linked pilot; SLA gains",No,"Target select providers for PoC","Identify owners"
28,Alliance Insurance,Insurer,13,"Composite insurer; claims automation interest","Head of Claims (TBD); IT Lead (TBD)","Automation + denial reduction",No,"Outreach to Claims; propose KPIs","Identify owners"
29,Dubai National Insurance & Reinsurance (DNIR),Insurer,12,"Stable payer; needs clear champion","Head of Medical (TBD); Ops Lead (TBD)","Champion-led pilot; clear KPIs",No,"Find internal champion first","Identify owners"
30,Takaful Emarat,Insurer,12,"Takaful segment; compliance-first pilot","Head of Medical (TBD); Compliance (TBD)","Compliance; audit; UAE data residency",No,"Propose compliance-first pilot","Identify owners"
31,Methaq Takaful,Insurer,12,"Smaller; faster decisions possible","Head of Medical (TBD); Ops Lead (TBD)","Quick PoC; iterate fast",No,"Position speed-to-pilot; set KPIs","Identify owners"
32,Sharjah Insurance,Insurer,11,"Regional; relationship-led access","Head of Medical (TBD); Ops Lead (TBD)","Relationship-led entry; scoped pilot",No,"Leverage intros; propose small PoC","Identify owners"
33,Al Ain Ahlia Insurance,Insurer,11,"Abu Dhabi footprint; provider angles","Head of Medical (TBD); Ops Lead (TBD)","Provider-linked pilot; SLA gains",No,"Use provider intros; pilot with select facilities","Identify owners"
34,Hayah Insurance (Green Crescent),Insurer,11,"Group medical; member experience uplift","Head of Medical (TBD); Ops Lead (TBD)","Member experience + turnaround",No,"Pitch experience KPIs; pilot scope","Identify owners"
35,United Fidelity Insurance,Insurer,11,"Corporate portfolio; denial reduction value","Head of Claims (TBD); IT Lead (TBD)","Denial reduction; ROI",No,"Claims outreach; KPI proposal","Identify owners"
36,Qatar Insurance Company (UAE),Insurer,10,"UAE branch; coordinate regional teams","UAE Ops Lead (TBD); Regional IT (TBD)","Regional alignment; UAE data residency",No,"Qualify UAE autonomy; propose PoC","Identify owners"
37,MetLife Gulf / Cigna Middle East (UAE ops),Insurer,10,"Multinationals; longer cycles; big brand proof","UAE GM (TBD); Health Ops (TBD)","Pilot in UAE ops; escalate later",Yes,"Start with UAE ops; gather traction","Identify owners"
38,MSH International,TPA,12,"Expat portfolios; cross-border considerations","COO/Head of Ops (TBD); IT Lead (TBD)","Integration-light/backfill mode",No,"Discuss backfill mode; sample data","Identify owners"
39,Vidal Health (UAE),TPA,12,"India-linked expertise; scalable ops","COO/Head of Ops (TBD); IT Lead (TBD)","Leverage ops scale; SLA KPIs",No,"Qualify interest; propose PoC","Identify owners"
40,Inayah TPA,TPA,12,"Provider ties; quick PoC potential","COO/Head of Ops (TBD); IT Lead (TBD)","Quick PoC; provider network",No,"Initiate intro; test limited-scope PoC","Identify owners"
41,Fortune Healthcare,TPA,11,"Niche segments; focused pilots","COO/Head of Ops (TBD); IT Lead (TBD)","Niche-focused PoC; metrics",No,"Qualify niche; propose KPIs","Identify owners"
42,Starwell Health Management,TPA,11,"Mid-size; efficiency KPIs resonate","COO/Head of Ops (TBD); IT Lead (TBD)","Efficiency + denial reduction",No,"Propose KPI framework; discovery","Identify owners"
43,Musalla Net TPA,TPA,11,"Targeted portfolios; agile","COO/Head of Ops (TBD); IT Lead (TBD)","Agile pilot; quick iteration",No,"Pitch speed + KPIs","Identify owners"
44,Khat Al Haya,TPA,10,"Smaller; relationship-driven entry","COO/Head of Ops (TBD); IT Lead (TBD)","Relationship-led pilot; SLA gains",No,"Use warm intros; propose small PoC","Identify owners"
45,Aspire Solution (Claims Mgmt),TPA,10,"Claims niche; targeted PoC","COO/Head of Ops (TBD); IT Lead (TBD)","Claims-focused PoC; ROI",No,"Target niche; pilot with KPIs","Identify owners"
46,Now Health International (TPA ops),TPA,10,"Expats focus; integration light","UAE Ops Lead (TBD); IT Lead (TBD)","Integration-light; member experience",No,"Qualify UAE ops scope; propose PoC","Identify owners"
47,Vidal Medical Services (UAE),TPA,10,"Admin services; narrow pilot scope","Ops Lead (TBD); IT Lead (TBD)","Admin workflow pilot; SLA gains",No,"Define narrow scope; propose", "Identify owners"
